TITEL   ="............."
VARIABLES = "x", "r"
ZONE T="CNET",          I = 281,   J = 21 F=POINT
#  k=0
0.733034  0.316401 
0.735843  0.315909 
0.738652  0.315425 
0.741460  0.314950 
0.744269  0.314482 
0.747077  0.314022 
0.749886  0.313568 
0.752694  0.313120 
0.755503  0.312679 
0.758312  0.312242 
0.761120  0.311810 
0.763929  0.311383 
0.766737  0.310959 
0.769546  0.310539 
0.772354  0.310121 
0.775163  0.309706 
0.777971  0.309293 
0.780780  0.308882 
0.783589  0.308471 
0.786397  0.308061 
#  k=4
0.000000  0.224835 
0.002809  0.225215 
0.005617  0.225612 
0.008426  0.226023 
0.011234  0.226444 
0.014043  0.226870 
0.016851  0.227299 
0.019660  0.227725 
0.022468  0.228145 
0.025277  0.228555 
0.028086  0.228951 
0.030894  0.229330 
0.033703  0.229686 
0.036511  0.230016 
0.039320  0.230316 
0.042128  0.230583 
0.044937  0.230811 
0.047746  0.230998 
0.050554  0.231144 
0.053363  0.231253 
0.056171  0.231328 
0.058980  0.231373 
0.061788  0.231392 
0.064597  0.231389 
0.067405  0.231366 
0.070214  0.231329 
0.073023  0.231279 
0.075831  0.231223 
0.078640  0.231162 
0.081448  0.231100 
0.084257  0.231042 
0.087065  0.230988 
0.089874  0.230936 
0.092683  0.230882 
0.095491  0.230824 
0.098300  0.230758 
0.101108  0.230682 
0.103917  0.230594 
0.106725  0.230489 
0.109534  0.230365 
0.112342  0.230219 
0.115151  0.230049 
0.117960  0.229851 
0.120768  0.229623 
0.123577  0.229361 
0.126385  0.229063 
0.129194  0.228726 
0.132002  0.228356 
0.134811  0.227959 
0.137620  0.227542 
0.140428  0.227114 
0.143237  0.226680 
0.146045  0.226250 
0.148854  0.225828 
0.151662  0.225424 
0.154471  0.225044 
0.157279  0.224695 
0.160088  0.224386 
0.162896  0.224122 
0.165705  0.223911 
0.168514  0.223761 
0.171322  0.223678 
0.174131  0.223671 
0.176939  0.223745 
0.179748  0.223905 
0.182557  0.224147 
0.185365  0.224467 
0.188174  0.224863 
0.190982  0.225332 
0.193791  0.225869 
0.196599  0.226472 
0.199408  0.227137 
0.202216  0.227861 
0.205025  0.228641 
0.207834  0.229473 
0.210642  0.230354 
0.213451  0.231281 
0.216259  0.232250 
0.219068  0.233259 
0.221876  0.234303 
0.224685  0.235380 
0.227493  0.236485 
0.230302  0.237617 
0.233110  0.238771 
0.235919  0.239945 
0.238728  0.241134 
0.241536  0.242336 
0.244345  0.243548 
0.247153  0.244766 
0.249962  0.245992 
0.252771  0.247223 
0.255579  0.248461 
0.258388  0.249704 
0.261196  0.250952 
0.264005  0.252205 
0.266813  0.253462 
0.269622  0.254723 
0.272430  0.255988 
0.275239  0.257256 
0.278048  0.258527 
0.280856  0.259800 
0.283665  0.261075 
0.286473  0.262352 
